instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13368834,52222,NIFTY24APRFUT,NIFTY,0.0,2024-04-25,0.0,0.05,50,FUT,NFO-FUT,NFO
12014082,46930,NIFTY24MAYFUT,NIFTY,0.0,2024-05-30,0.0,0.05,50,FUT,NFO-FUT,NFO
8961026,35004,NIFTY24JUNFUT,NIFTY,0.0,2024-06-27,0.0,0.05,50,FUT,NFO-FUT,NFO
13368322,52220,BANKNIFTY24APRFUT,BANKNIFTY,0.0,2024-04-24,0.0,0.05,15,FUT,NFO-FUT,NFO
12012290,46923,BANKNIFTY24MAYFUT,BANKNIFTY,0.0,2024-05-29,0.0,0.05,15,FUT,NFO-FUT,NFO
8965122,35020,BANKNIFTY24JUNFUT,BANKNIFTY,0.0,2024-06-26,0.0,0.05,15,FUT,NFO-FUT,NFO
13369090,52223,AARTIIND24APRFUT,AARTIIND,0.0,2024-04-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
12014338,46931,AARTIIND24MAYFUT,AARTIIND,0.0,2024-05-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
8961282,35005,AARTIIND24JUNFUT,AARTIIND,0.0,2024-06-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
13374978,52246,ABB24APRFUT,ABB,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
12014594,46932,ABB24MAYFUT,ABB,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
8967170,35028,ABB24JUNFUT,ABB,0.0,2024-06-27,0.0,0.05,125,FUT,NFO-FUT,NFO
13375234,52247,ABBOTINDIA24APRFUT,ABBOTINDIA,0.0,2024-04-25,0.0,0.05,40,FUT,NFO-FUT,NFO
12014850,46933,ABBOTINDIA24MAYFUT,ABBOTINDIA,0.0,2024-05-30,0.0,0.05,40,FUT,NFO-FUT,NFO
8967426,35029,ABBOTINDIA24JUNFUT,ABBOTINDIA,0.0,2024-06-27,0.0,0.05,40,FUT,NFO-FUT,NFO
13375490,52248,ABCAPITAL24APRFUT,ABCAPITAL,0.0,2024-04-25,0.0,0.05,5400,FUT,NFO-FUT,NFO
12068866,47144,ABCAPITAL24MAYFUT,ABCAPITAL,0.0,2024-05-30,0.0,0.05,5400,FUT,NFO-FUT,NFO
8967682,35030,ABCAPITAL24JUNFUT,ABCAPITAL,0.0,2024-06-27,0.0,0.05,5400,FUT,NFO-FUT,NFO
13375746,52249,ABFRL24APRFUT,ABFRL,0.0,2024-04-25,0.0,0.05,2600,FUT,NFO-FUT,NFO
12069122,47145,ABFRL24MAYFUT,ABFRL,0.0,2024-05-30,0.0,0.05,2600,FUT,NFO-FUT,NFO
8967938,35031,ABFRL24JUNFUT,ABFRL,0.0,2024-06-27,0.0,0.05,2600,FUT,NFO-FUT,NFO
13376002,52250,ACC24APRFUT,ACC,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
12148482,47455,ACC24MAYFUT,ACC,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
8972034,35047,ACC24JUNFUT,ACC,0.0,2024-06-27,0.0,0.05,300,FUT,NFO-FUT,NFO
13376258,52251,ADANIENT24APRFUT,ADANIENT,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
12148738,47456,ADANIENT24MAYFUT,ADANIENT,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
8972290,35048,ADANIENT24JUNFUT,ADANIENT,0.0,2024-06-27,0.0,0.05,300,FUT,NFO-FUT,NFO
13376514,52252,ADANIPORTS24APRFUT,ADANIPORTS,0.0,2024-04-25,0.0,0.05,800,FUT,NFO-FUT,NFO
12148994,47457,ADANIPORTS24MAYFUT,ADANIPORTS,0.0,2024-05-30,0.0,0.05,800,FUT,NFO-FUT,NFO
8978946,35074,ADANIPORTS24JUNFUT,ADANIPORTS,0.0,2024-06-27,0.0,0.05,800,FUT,NFO-FUT,NFO
13377794,52257,ALKEM24APRFUT,ALKEM,0.0,2024-04-25,0.0,0.05,200,FUT,NFO-FUT,NFO
12149250,47458,ALKEM24MAYFUT,ALKEM,0.0,2024-05-30,0.0,0.05,200,FUT,NFO-FUT,NFO
